2021-11-10 02:56:27,850 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, priority=0)
2021-11-10 02:56:27,852 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, priority=0)
2021-11-10 02:56:50,238 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=4a:81:c9:11:13:bb, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-10 02:56:50,240 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, buffer_id=4294967295, in_port=1)
2021-11-10 02:56:50,268 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=4a:81:c9:11:13:bb, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-10 02:56:50,269 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, buffer_id=4294967295, in_port=1)
2021-11-10 02:56:50,282 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=f6:8e:a7:57:9c:1e, dst=4a:81:c9:11:13:bb, in_port=2)
2021-11-10 02:56:50,283 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, priority=1)
2021-11-10 02:56:50,284 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, buffer_id=4294967295, in_port=2)
2021-11-10 02:56:50,306 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=f6:8e:a7:57:9c:1e, dst=4a:81:c9:11:13:bb, in_port=2)
2021-11-10 02:56:50,308 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, priority=1)
2021-11-10 02:56:50,309 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, buffer_id=4294967295, in_port=2)
2021-11-10 02:56:50,322 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=4a:81:c9:11:13:bb, dst=f6:8e:a7:57:9c:1e, in_port=1)
2021-11-10 02:56:50,323 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, priority=1)
2021-11-10 02:56:50,324 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67320>, buffer_id=4294967295, in_port=1)
2021-11-10 02:56:50,333 | 6155 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=4a:81:c9:11:13:bb, dst=f6:8e:a7:57:9c:1e, in_port=1)
2021-11-10 02:56:50,334 | 6155 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, priority=1)
2021-11-10 02:56:50,335 | 6155 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f5bfbe67be0>, buffer_id=4294967295, in_port=1)
