2021-11-10 02:59:33,946 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, priority=0)
2021-11-10 02:59:33,948 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, priority=0)
2021-11-10 02:59:45,718 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=82:0e:22:91:6f:38, dst=ff:ff:ff:ff:ff:ff, in_port=1)

2021-11-10 02:59:45,721 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, buffer_id=4294967295, in_port=1)
2021-11-10 02:59:45,743 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=82:0e:22:91:6f:38, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-10 02:59:45,759 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, buffer_id=4294967295, in_port=1)
2021-11-10 02:59:45,790 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=fa:47:34:ef:94:76, dst=82:0e:22:91:6f:38, in_port=2)
2021-11-10 02:59:45,792 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, priority=1)
2021-11-10 02:59:45,793 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, buffer_id=4294967295, in_port=2)
2021-11-10 02:59:45,821 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=fa:47:34:ef:94:76, dst=82:0e:22:91:6f:38, in_port=2)
2021-11-10 02:59:45,823 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, priority=1)
2021-11-10 02:59:45,824 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, buffer_id=4294967295, in_port=2)
2021-11-10 02:59:45,829 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=82:0e:22:91:6f:38, dst=fa:47:34:ef:94:76, in_port=1)
2021-11-10 02:59:45,830 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, priority=1)
2021-11-10 02:59:45,831 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deef3c8>, buffer_id=4294967295, in_port=1)
2021-11-10 02:59:45,837 | 6772 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=82:0e:22:91:6f:38, dst=fa:47:34:ef:94:76, in_port=1)
2021-11-10 02:59:45,838 | 6772 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, priority=1)
2021-11-10 02:59:45,839 | 6772 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f854deefdd8>, buffer_id=4294967295, in_port=1)
