2021-11-17 03:55:57,401 | 2867 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb885679080>, priority=0)
2021-11-17 03:55:57,403 | 2867 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, priority=0)
2021-11-17 03:56:09,594 | 2867 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=7e:d9:20:93:a8:93, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 03:56:09,601 | 2867 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, buffer_id=4294967295, in_port=1)
2021-11-17 03:56:09,633 | 2867 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=7e:d9:20:93:a8:93, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 03:56:09,634 | 2867 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb885679080>, buffer_id=4294967295, in_port=1)
2021-11-17 03:56:09,636 | 2867 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=8a:de:4a:05:77:a1, dst=7e:d9:20:93:a8:93, in_port=3)
2021-11-17 03:56:09,638 | 2867 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, priority=1)
2021-11-17 03:56:09,641 | 2867 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, buffer_id=4294967295, in_port=3)
2021-11-17 03:56:09,700 | 2867 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=7e:d9:20:93:a8:93, dst=8a:de:4a:05:77:a1, in_port=1)
2021-11-17 03:56:09,701 | 2867 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, priority=1)
2021-11-17 03:56:09,702 | 2867 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb8856793c8>, buffer_id=4294967295, in_port=1)
