2021-11-17 03:58:49,421 | 3494 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, priority=0)
2021-11-17 03:58:49,423 | 3494 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384048>, priority=0)
2021-11-17 03:58:54,235 | 3494 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=02:1c:88:c6:f2:89, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 03:58:54,236 | 3494 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, buffer_id=4294967295, in_port=1)
2021-11-17 03:58:54,251 | 3494 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=02:1c:88:c6:f2:89, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 03:58:54,252 | 3494 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384048>, buffer_id=4294967295, in_port=1)
2021-11-17 03:58:54,253 | 3494 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=4e:a8:72:af:41:47, dst=02:1c:88:c6:f2:89, in_port=3)
2021-11-17 03:58:54,264 | 3494 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, priority=1)
2021-11-17 03:58:54,266 | 3494 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, buffer_id=4294967295, in_port=3)
2021-11-17 03:58:54,329 | 3494 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=02:1c:88:c6:f2:89, dst=4e:a8:72:af:41:47, in_port=1)
2021-11-17 03:58:54,331 | 3494 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, priority=1)
2021-11-17 03:58:54,331 | 3494 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1e4f384390>, buffer_id=4294967295, in_port=1)
