2021-11-17 04:11:35,401 | 4628 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, priority=0)
2021-11-17 04:11:35,409 | 4628 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78128>, priority=0)
2021-11-17 04:11:44,465 | 4628 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=b6:a6:0f:86:44:e9, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:11:44,468 | 4628 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, buffer_id=4294967295, in_port=1)
2021-11-17 04:11:44,514 | 4628 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=b6:a6:0f:86:44:e9, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:11:44,515 | 4628 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78128>, buffer_id=4294967295, in_port=1)
2021-11-17 04:11:44,517 | 4628 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=b2:77:51:cb:c6:53, dst=b6:a6:0f:86:44:e9, in_port=3)
2021-11-17 04:11:44,518 | 4628 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, priority=1)
2021-11-17 04:11:44,519 | 4628 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, buffer_id=4294967295, in_port=3)
2021-11-17 04:11:44,587 | 4628 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=b6:a6:0f:86:44:e9, dst=b2:77:51:cb:c6:53, in_port=1)
2021-11-17 04:11:44,588 | 4628 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, priority=1)
2021-11-17 04:11:44,590 | 4628 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f6375c78390>, buffer_id=4294967295, in_port=1)
