2021-11-17 04:43:17,260 | 3206 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, priority=0)
2021-11-17 04:43:17,268 | 3206 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda160>, priority=0)
2021-11-17 04:43:23,142 | 3206 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=32:66:ae:0a:08:7a, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:43:23,143 | 3206 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, buffer_id=4294967295, in_port=1)
2021-11-17 04:43:23,208 | 3206 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=6a:82:31:c7:9d:a0, dst=32:66:ae:0a:08:7a, in_port=3)
2021-11-17 04:43:23,209 | 3206 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, priority=1)
2021-11-17 04:43:23,210 | 3206 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, buffer_id=4294967295, in_port=3)
2021-11-17 04:43:23,211 | 3206 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=32:66:ae:0a:08:7a, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:43:23,214 | 3206 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda160>, buffer_id=4294967295, in_port=1)
2021-11-17 04:43:23,260 | 3206 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=32:66:ae:0a:08:7a, dst=6a:82:31:c7:9d:a0, in_port=1)
2021-11-17 04:43:23,262 | 3206 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, priority=1)
2021-11-17 04:43:23,263 | 3206 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f4a8beda3c8>, buffer_id=4294967295, in_port=1)
