2021-11-17 04:47:40,252 | 3799 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2048>, priority=0)
2021-11-17 04:47:40,262 | 3799 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, priority=0)
2021-11-17 04:47:44,757 | 3799 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:e5:4d:48:8a:84, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:47:44,758 | 3799 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, buffer_id=4294967295, in_port=1)
2021-11-17 04:47:44,796 | 3799 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=f6:a0:6f:2f:d9:e7, dst=ca:e5:4d:48:8a:84, in_port=3)
2021-11-17 04:47:44,797 | 3799 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, priority=1)
2021-11-17 04:47:44,798 | 3799 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, buffer_id=4294967295, in_port=3)
2021-11-17 04:47:44,799 | 3799 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=ca:e5:4d:48:8a:84, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:47:44,799 | 3799 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2048>, buffer_id=4294967295, in_port=1)
2021-11-17 04:47:44,846 | 3799 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:e5:4d:48:8a:84, dst=f6:a0:6f:2f:d9:e7, in_port=1)
2021-11-17 04:47:44,847 | 3799 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, priority=1)
2021-11-17 04:47:44,849 | 3799 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fddd29b2390>, buffer_id=4294967295, in_port=1)
