2021-11-17 04:59:34,228 | 4309 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0048>, priority=0)
2021-11-17 04:59:34,230 | 4309 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, priority=0)
2021-11-17 04:59:42,038 | 4309 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=5a:7a:c3:e2:a5:92, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:59:42,039 | 4309 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, buffer_id=4294967295, in_port=1)
2021-11-17 04:59:42,066 | 4309 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=16:8f:7e:35:ac:7a, dst=5a:7a:c3:e2:a5:92, in_port=3)
2021-11-17 04:59:42,068 | 4309 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, priority=1)
2021-11-17 04:59:42,069 | 4309 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, buffer_id=4294967295, in_port=3)
2021-11-17 04:59:42,072 | 4309 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=5a:7a:c3:e2:a5:92, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 04:59:42,086 | 4309 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0048>, buffer_id=4294967295, in_port=1)
2021-11-17 04:59:42,131 | 4309 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=5a:7a:c3:e2:a5:92, dst=16:8f:7e:35:ac:7a, in_port=1)
2021-11-17 04:59:42,132 | 4309 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, priority=1)
2021-11-17 04:59:42,133 | 4309 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f13bada0390>, buffer_id=4294967295, in_port=1)
