2021-11-17 05:03:25,248 | 5647 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c048>, priority=0)
2021-11-17 05:03:25,249 | 5647 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, priority=0)
2021-11-17 05:03:43,993 | 5647 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=56:61:2b:3f:67:b4, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 05:03:43,996 | 5647 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, buffer_id=4294967295, in_port=1)
2021-11-17 05:03:44,043 | 5647 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=8a:7d:d0:4c:a2:a6, dst=56:61:2b:3f:67:b4, in_port=3)
2021-11-17 05:03:44,044 | 5647 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, priority=1)
2021-11-17 05:03:44,044 | 5647 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, buffer_id=4294967295, in_port=3)
2021-11-17 05:03:44,046 | 5647 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=56:61:2b:3f:67:b4, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 05:03:44,047 | 5647 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c048>, buffer_id=4294967295, in_port=1)
2021-11-17 05:03:44,089 | 5647 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=56:61:2b:3f:67:b4, dst=8a:7d:d0:4c:a2:a6, in_port=1)
2021-11-17 05:03:44,091 | 5647 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, priority=1)
2021-11-17 05:03:44,092 | 5647 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f0ad0c5c390>, buffer_id=4294967295, in_port=1)
