2021-11-17 08:37:15,077 | 2938 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, priority=0)
2021-11-17 08:37:15,080 | 2938 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32fe80>, priority=0)
2021-11-17 08:37:17,156 | 2938 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=72:0d:3c:39:6f:66, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:37:17,159 | 2938 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:37:17,202 | 2938 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=72:0d:3c:39:6f:66, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:37:17,203 | 2938 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32fe80>, buffer_id=4294967295, in_port=1)
2021-11-17 08:37:17,208 | 2938 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=b6:f6:2e:51:af:f5, dst=72:0d:3c:39:6f:66, in_port=3)
2021-11-17 08:37:17,209 | 2938 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, priority=1)
2021-11-17 08:37:17,210 | 2938 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, buffer_id=4294967295, in_port=3)
2021-11-17 08:37:17,277 | 2938 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=72:0d:3c:39:6f:66, dst=b6:f6:2e:51:af:f5, in_port=1)
2021-11-17 08:37:17,279 | 2938 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, priority=1)
2021-11-17 08:37:17,280 | 2938 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8e4e32f390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:37:43,067 | 3965 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, priority=0)
2021-11-17 08:37:43,069 | 3965 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2048>, priority=0)
2021-11-17 08:37:45,652 | 3965 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=5a:61:a3:1b:db:81, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:37:45,653 | 3965 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:37:45,684 | 3965 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=2e:3f:68:aa:82:4f, dst=5a:61:a3:1b:db:81, in_port=3)
2021-11-17 08:37:45,686 | 3965 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, priority=1)
2021-11-17 08:37:45,694 | 3965 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, buffer_id=4294967295, in_port=3)
2021-11-17 08:37:45,723 | 3965 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=5a:61:a3:1b:db:81, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:37:45,743 | 3965 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2048>, buffer_id=4294967295, in_port=1)
2021-11-17 08:37:45,753 | 3965 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=5a:61:a3:1b:db:81, dst=2e:3f:68:aa:82:4f, in_port=1)
2021-11-17 08:37:45,758 | 3965 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, priority=1)
2021-11-17 08:37:45,759 | 3965 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f8b4bdb2390>, buffer_id=4294967295, in_port=1)
