2021-11-17 08:39:35,059 | 5164 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, priority=0)
2021-11-17 08:39:35,061 | 5164 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d128>, priority=0)
2021-11-17 08:39:46,201 | 5164 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=fa:db:37:b7:b9:e9, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:39:46,201 | 5164 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:39:46,258 | 5164 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=be:45:68:21:47:ed, dst=fa:db:37:b7:b9:e9, in_port=3)
2021-11-17 08:39:46,259 | 5164 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, priority=1)
2021-11-17 08:39:46,260 | 5164 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, buffer_id=4294967295, in_port=3)
2021-11-17 08:39:46,261 | 5164 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=fa:db:37:b7:b9:e9, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:39:46,262 | 5164 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d128>, buffer_id=4294967295, in_port=1)
2021-11-17 08:39:46,327 | 5164 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=fa:db:37:b7:b9:e9, dst=be:45:68:21:47:ed, in_port=1)
2021-11-17 08:39:46,328 | 5164 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, priority=1)
2021-11-17 08:39:46,329 | 5164 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f329153d390>, buffer_id=4294967295, in_port=1)
