2021-11-17 08:42:25,129 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=0)
2021-11-17 08:42:25,130 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, priority=0)
2021-11-17 08:42:30,113 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:2e:47:71:4f:53, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:42:30,116 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,155 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=ca:2e:47:71:4f:53, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:42:30,156 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,178 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=42:6e:7e:b4:3b:0a, dst=ca:2e:47:71:4f:53, in_port=2)
2021-11-17 08:42:30,179 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, priority=1)
2021-11-17 08:42:30,180 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=2)
2021-11-17 08:42:30,234 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=42:6e:7e:b4:3b:0a, dst=ca:2e:47:71:4f:53, in_port=2)
2021-11-17 08:42:30,234 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,235 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=2)
2021-11-17 08:42:30,283 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:2e:47:71:4f:53, dst=42:6e:7e:b4:3b:0a, in_port=1)
2021-11-17 08:42:30,286 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,287 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,330 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=ca:2e:47:71:4f:53, dst=42:6e:7e:b4:3b:0a, in_port=1)
2021-11-17 08:42:30,334 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, priority=1)
2021-11-17 08:42:30,336 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,392 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:2e:47:71:4f:53, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:42:30,392 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,433 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=ca:2e:47:71:4f:53, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:42:30,435 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,439 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=fa:7f:7c:66:21:96, dst=ca:2e:47:71:4f:53, in_port=3)
2021-11-17 08:42:30,447 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,449 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=3)
2021-11-17 08:42:30,491 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=ca:2e:47:71:4f:53, dst=fa:7f:7c:66:21:96, in_port=1)
2021-11-17 08:42:30,501 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,503 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,634 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=42:6e:7e:b4:3b:0a, dst=ff:ff:ff:ff:ff:ff, in_port=2)
2021-11-17 08:42:30,636 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=2)
2021-11-17 08:42:30,655 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=42:6e:7e:b4:3b:0a, dst=ff:ff:ff:ff:ff:ff, in_port=2)
2021-11-17 08:42:30,656 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=2)
2021-11-17 08:42:30,674 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=fa:7f:7c:66:21:96, dst=42:6e:7e:b4:3b:0a, in_port=3)
2021-11-17 08:42:30,675 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,676 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=3)
2021-11-17 08:42:30,713 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=fa:7f:7c:66:21:96, dst=42:6e:7e:b4:3b:0a, in_port=1)
2021-11-17 08:42:30,714 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, priority=1)
2021-11-17 08:42:30,714 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=1)
2021-11-17 08:42:30,753 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=42:6e:7e:b4:3b:0a, dst=fa:7f:7c:66:21:96, in_port=2)
2021-11-17 08:42:30,754 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, priority=1)
2021-11-17 08:42:30,755 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec359080>, buffer_id=4294967295, in_port=2)
2021-11-17 08:42:30,787 | 6711 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=42:6e:7e:b4:3b:0a, dst=fa:7f:7c:66:21:96, in_port=2)
2021-11-17 08:42:30,788 | 6711 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, priority=1)
2021-11-17 08:42:30,789 | 6711 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fb6ec3593c8>, buffer_id=4294967295, in_port=2)
