2021-11-17 08:46:42,086 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, priority=0)
2021-11-17 08:46:42,087 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, priority=0)
2021-11-17 08:46:59,274 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=32:95:bd:e1:31:c6, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:46:59,277 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:46:59,334 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=32:95:bd:e1:31:c6, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:46:59,345 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, buffer_id=4294967295, in_port=1)
2021-11-17 08:46:59,386 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=96:0e:cd:93:02:a7, dst=32:95:bd:e1:31:c6, in_port=2)
2021-11-17 08:46:59,389 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, priority=1)
2021-11-17 08:46:59,391 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, buffer_id=4294967295, in_port=2)
2021-11-17 08:46:59,447 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=96:0e:cd:93:02:a7, dst=32:95:bd:e1:31:c6, in_port=2)
2021-11-17 08:46:59,448 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, priority=1)
2021-11-17 08:46:59,450 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, buffer_id=4294967295, in_port=2)
2021-11-17 08:46:59,520 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=32:95:bd:e1:31:c6, dst=96:0e:cd:93:02:a7, in_port=1)
2021-11-17 08:46:59,521 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, priority=1)
2021-11-17 08:46:59,522 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:46:59,567 | 7958 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=32:95:bd:e1:31:c6, dst=96:0e:cd:93:02:a7, in_port=1)
2021-11-17 08:46:59,568 | 7958 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, priority=1)
2021-11-17 08:46:59,569 | 7958 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7f1caa9a1048>, buffer_id=4294967295, in_port=1)
