2021-11-17 08:58:16,116 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, priority=0)
2021-11-17 08:58:16,126 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, priority=0)
2021-11-17 08:58:32,902 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=92:75:df:06:71:00, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:58:32,908 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:32,949 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=92:75:df:06:71:00, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:58:32,950 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:32,970 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=3e:62:d2:db:41:ba, dst=92:75:df:06:71:00, in_port=2)
2021-11-17 08:58:32,973 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, priority=1)
2021-11-17 08:58:32,974 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, buffer_id=4294967295, in_port=2)
2021-11-17 08:58:33,031 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=3e:62:d2:db:41:ba, dst=92:75:df:06:71:00, in_port=2)
2021-11-17 08:58:33,032 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, priority=1)
2021-11-17 08:58:33,033 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, buffer_id=4294967295, in_port=2)
2021-11-17 08:58:33,091 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=92:75:df:06:71:00, dst=3e:62:d2:db:41:ba, in_port=1)
2021-11-17 08:58:33,092 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, priority=1)
2021-11-17 08:58:33,093 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6390>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:33,135 | 9821 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=92:75:df:06:71:00, dst=3e:62:d2:db:41:ba, in_port=1)
2021-11-17 08:58:33,136 | 9821 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, priority=1)
2021-11-17 08:58:33,137 | 9821 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fec3cee6048>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:53,102 | 11221 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, priority=0)
2021-11-17 08:58:53,106 | 11221 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3e80>, priority=0)
2021-11-17 08:58:59,334 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=7a:fa:16:58:87:f0, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:58:59,338 | 11221 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:59,368 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=7a:fa:16:58:87:f0, dst=ff:ff:ff:ff:ff:ff, in_port=1)
2021-11-17 08:58:59,372 | 11221 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3e80>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:59,402 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=e6:6b:20:85:c3:1a, dst=7a:fa:16:58:87:f0, in_port=2)
2021-11-17 08:58:59,405 | 11221 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3e80>, priority=1)
2021-11-17 08:58:59,407 | 11221 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3e80>, buffer_id=4294967295, in_port=2)
2021-11-17 08:58:59,451 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=e6:6b:20:85:c3:1a, dst=7a:fa:16:58:87:f0, in_port=2)
2021-11-17 08:58:59,452 | 11221 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, priority=1)
2021-11-17 08:58:59,453 | 11221 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, buffer_id=4294967295, in_port=2)
2021-11-17 08:58:59,491 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000001, src=7a:fa:16:58:87:f0, dst=e6:6b:20:85:c3:1a, in_port=1)
2021-11-17 08:58:59,492 | 11221 | simple_switch_13, add_flow, 95 | INFO | send Flow Mod message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, priority=1)
2021-11-17 08:58:59,493 | 11221 | simple_switch_13, _packet_in_handler, 151 | INFO | send Pakcet Out message (datapath=<ryu.controller.controller.Datapath object at 0x7fca2d6f3400>, buffer_id=4294967295, in_port=1)
2021-11-17 08:58:59,542 | 11221 | simple_switch_13, _packet_in_handler, 123 | INFO | packet in (dpid=0000000000000002, src=7a:fa:16:58:87:f0, dst=e6:6b:20:85:c3:1a, in_port=1)
