2021-07-21 01:48:58,932 | 12367 | ofcapture.proxy.proxy, start_server, 231 | INFO | Server on ('127.0.0.1', 63333)
2021-07-21 01:48:58,935 | 12367 | ofcapture.proxy.proxy, start_server, 234 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-07-21 01:48:59,041 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50640) is connected
2021-07-21 01:48:59,044 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:48:59,370 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50644) is connected
2021-07-21 01:48:59,372 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:48:59,802 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50648) is connected
2021-07-21 01:48:59,805 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50650) is connected
2021-07-21 01:48:59,812 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:48:59,816 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:49:00,795 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50716) is connected
2021-07-21 01:49:00,824 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50718) is connected
2021-07-21 01:49:00,832 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:49:00,836 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:49:01,801 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50772) is connected
2021-07-21 01:49:01,802 | 12367 | ofcapture.proxy.proxy, handle_switch, 252 | INFO | Client ('127.0.0.1', 50774) is connected
2021-07-21 01:49:01,806 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-07-21 01:49:01,815 | 12367 | ofcapture.proxy.proxy, open_connection, 350 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
