2021-10-19 08:43:34,726 | 3971 | tracing_net.net, __init__, 99 | INFO | set up on-demand mininet
2021-10-19 08:43:34,731 | 3971 | tracing_of_pipeline, start, 103 | INFO | OpenFlow Tracer Start
2021-10-19 08:43:34,741 | 3971 | tracing_net.net, start, 312 | INFO | mininet start
2021-10-19 08:43:34,749 | 3971 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s1)
2021-10-19 08:43:35,312 | 3971 | tracing_net.net, add_host, 164 | DEBUG | added the host (h1)
2021-10-19 08:43:35,814 | 3971 | tracing_net.net, add_link, 203 | DEBUG | added the link (l2) between s1 and h1
2021-10-19 08:43:36,468 | 3971 | tracing_net.net, add_switch, 116 | DEBUG | added the switch (s2)
2021-10-19 08:43:36,666 | 3971 | tracing_net.net, add_link, 203 | DEBUG | added the link (l1) between s1 and s2
2021-10-19 08:43:37,557 | 3971 | tracing_net.net, add_host, 164 | DEBUG | added the host (h2)
2021-10-19 08:43:37,787 | 3971 | tracing_net.net, add_link, 203 | DEBUG | added the link (l3) between s2 and h2
2021-10-19 08:43:38,285 | 3971 | tracing_net.net, start_tracing, 525 | INFO | tracing start
2021-10-19 08:43:38,286 | 3971 | tracing_net.net, start_tracing, 527 | DEBUG | ipv6 is disable
2021-10-19 08:43:38,380 | 3971 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s1-eth1:None) started
2021-10-19 08:43:38,390 | 3971 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s1-eth2:None) started
2021-10-19 08:43:38,401 | 3971 | tracing_net.packet_capture_manager, start_capture, 87 | DEBUG | capture process (s2-eth2:None) started
2021-10-19 08:43:38,395 | 4108 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth1
2021-10-19 08:43:38,522 | 4110 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s1-eth2
2021-10-19 08:43:38,531 | 3971 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s1
2021-10-19 08:43:38,538 | 3971 | tracing_net.flowtable.flow_monitor, __init__, 46 | INFO | flow monitor start : s2
2021-10-19 08:43:38,540 | 4112 | tracing_net.util.packet_capture, start_capture, 58 | INFO | packet capture start on s2-eth2
2021-10-19 08:43:38,592 | 4114 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result NXST_FLOW_MONITOR reply (xid=0x4):
2021-10-19 08:43:38,917 | 4121 | tracing_net.flowtable.flow_monitor, flow_monitor, 99 | DEBUG | flow monitor get result NXST_FLOW_MONITOR reply (xid=0x4):
2021-10-19 08:43:39,665 | 4114 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-19 08:43:39,670 | 4121 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-10-19 08:43:40,052 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633019.857878 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:40,055 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:40,434 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633019.951074 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:40,440 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:40,553 | 4114 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-19 08:43:40,575 | 3971 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-19 08:43:40,576 | 3971 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-19 08:43:40,578 | 3971 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-19 08:43:40,589 | 4121 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-10-19 08:43:40,593 | 3971 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 415 | DEBUG | tmp_p = None, s_dpip = 1
2021-10-19 08:43:40,598 | 3971 | tracing_of_pipeline.analyzer, _poll_packet_inout_repo, 415 | DEBUG | tmp_p = None, s_dpip = 2
2021-10-19 08:43:40,700 | 3971 | tracing_of_pipeline.analyzer, _polling, 375 | DEBUG | polled repository (start_time=1634633018.567661, until=0) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': [], 's2': []}
2021-10-19 08:43:40,704 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l2
2021-10-19 08:43:40,805 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l1
2021-10-19 08:43:40,806 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l3
2021-10-19 08:43:41,180 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633020.703926 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:41,183 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:41,456 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633020.81357 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:41,461 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:41,759 | 4114 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-19 08:43:42,016 | 4121 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-10-19 08:43:42,633 | 3971 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-19 08:43:42,721 | 3971 | tracing_net.packet_repository, pop, 73 | ERROR | Failed to pop from packet repository (repo={})
2021-10-19 08:43:42,632 | 4121 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
